gene_id	original_edge_id	gene_name	interpretation_role	event_type	reference_factor	original_effect	original_q_value	original_association_status	original_level_factor_soft_flag	scenario_id	scenario_class	scenario_target_gene_id	scenario_target_gene_name	prespecified_seed_count	informative_model_count	completed_converged_seed_count	reliable_factor_match_count	reliable_factor_match_rate	direction_retained_count	direction_retention_rate	magnitude_retained_count	magnitude_retention_rate	low_margin_count	median_aligned_effect	median_q_value	minimum_factor_match_abs_loading_correlation	median_factor_match_abs_loading_correlation	scenario_no_op	no_op_reason	retention_decision
ENSG00000116044.16	TCGA_DRIVER_STATE_0054	NFE2L2	known_positive_anchor	relative_cnv	Factor2	-0.205135051839573	0.283940830828338	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.209229782217994	0.405361823018992	0.998236495543582	0.998525545261377	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0047	PIK3CA	known_positive_anchor	amplification	Factor1	0.557369614512472	0.000107662142667664	within_tcga_supported	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.557369614512472	0.000107662142667664	0.996667925361895	0.999831609903007	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0047	PIK3CA	known_positive_anchor	amplification	Factor1	0.557369614512472	0.000107662142667664	within_tcga_supported	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.553741496598639	0.000124619922146962	0.997105913287103	0.99788062376189	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0047	PIK3CA	known_positive_anchor	amplification	Factor1	0.557369614512472	0.000107662142667664	within_tcga_supported	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.551927437641723	0.000134031222891906	0.996600719700229	0.996616587876539	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0047	PIK3CA	known_positive_anchor	amplification	Factor1	0.557369614512472	0.000107662142667664	within_tcga_supported	FALSE	drop_gene_event_features_PIK3CA	gene_event_feature_drop	ENSG00000121879.6	PIK3CA	3	3	3	3	1	3	1	3	1	0	0.557369614512472	0.000107662142667664	0.996366812690369	0.999832814686329	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0047	PIK3CA	known_positive_anchor	amplification	Factor1	0.557369614512472	0.000107662142667664	within_tcga_supported	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	0.561904761904762	8.95608657316416e-05	0.626100009716627	0.638615370148529	FALSE		factor_alignment_unstable
ENSG00000121879.6	TCGA_DRIVER_STATE_0048	PIK3CA	known_positive_anchor	mutation	Factor6	-0.325301204819277	0.367714061397188	directional_exploratory	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.325301204819277	0.367714061397188	0.999813940956675	0.999985511186886	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0048	PIK3CA	known_positive_anchor	mutation	Factor6	-0.325301204819277	0.367714061397188	directional_exploratory	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.336254107338445	0.304593917251148	0.997750228728005	0.997950801414186	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0048	PIK3CA	known_positive_anchor	mutation	Factor6	-0.325301204819277	0.367714061397188	directional_exploratory	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.331872946330778	0.418618363198375	0.998031950839543	0.998215590521335	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0048	PIK3CA	known_positive_anchor	mutation	Factor6	-0.325301204819277	0.367714061397188	directional_exploratory	FALSE	drop_gene_event_features_PIK3CA	gene_event_feature_drop	ENSG00000121879.6	PIK3CA	3	3	3	3	1	3	1	3	1	0	-0.325301204819277	0.367714061397188	0.999803292432964	0.99998560773141	FALSE		direction_and_magnitude_retained_statistical_attenuation
