analysis_scope	association_role	is_primary_scope	n_patients	pathway	factor	reduced_model	full_model	factor_beta_standardized	factor_standard_error	factor_t_value	factor_coefficient_p_value	reduced_r_squared	full_r_squared	delta_r_squared	partial_r_squared	incremental_f	incremental_p_value	extension_calibration_pass	shared_rna_representation	independent_validation	factor_level_soft_flag	interpretation	incremental_q_value	factor_coefficient_q_value
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	p53	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.261302755803933	0.103128958858581	-2.53374763690044	0.0130348532651059	0.111956222690762	0.171704066354566	0.059747843663804	0.0672802908938107	6.41987708749859	0.0130348532651058	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0503415022652363	0.0503415022652367
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Hypoxia	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.244228833589102	0.0976168120223978	-2.50191364099316	0.0141803054475805	0.182261915032521	0.23599604600651	0.0537341309739883	0.0657106865410644	6.25957186698767	0.0141803054475802	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0529398070042993	0.0529398070043004
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Estrogen	Factor1	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.27754406848057	0.117854395430709	2.35497426690164	0.0207224718736475	0.0466424976728938	0.102564846293059	0.0559223486201647	0.0586583191338617	5.54590379776887	0.0207224718736479	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0748682854789858	0.0748682854789843
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	JAK-STAT	Factor1	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.26493325104603	0.115931257542675	-2.28526159951733	0.024673672710965	0.0806585259961662	0.131614421660833	0.050955895664667	0.0554265168118093	5.22242057822861	0.0246736727109639	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0863578544883736	0.0863578544883776
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	JAK-STAT	Factor7	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.216390525185146	0.100281823242647	2.15782400227764	0.0336347186579471	0.0806585259961662	0.126364433740919	0.0457059077447526	0.0497159206205484	4.65620442480554	0.033634718657946	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.114154196657271	0.114154196657275
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Androgen	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.254340620737719	0.125370186613587	-2.02871693508475	0.0454756679786884	0.0316551035117241	0.0744557274541847	0.0428006239424606	0.0441997723101325	4.11569240269967	0.0454756679786879	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.148548352721112	0.148548352721113
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	PI3K	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.209824189576682	0.103888377665911	2.01970802019303	0.0464213602253477	0.0950115738121438	0.134672921523727	0.0396613477115833	0.0438252540738576	4.07922048683204	0.0464213602253475	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.148548352721112	0.148548352721113
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Trail	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.182398325633275	0.09189653758903	-1.98482261049897	0.050243791172373	0.292941927282332	0.322912707818074	0.0299707805357428	0.0423880041713494	3.93952079514801	0.0502437911723711	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.15631401698071	0.156314016980716
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Androgen	Factor1	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.23340869128979	0.119895798088786	1.94676289753662	0.0547168398591239	0.0316551035117241	0.0712059287096129	0.0395508251978888	0.0408437379505181	3.78988577922522	0.0547168398591229	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.165629353087075	0.165629353087078
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	WNT	Factor6	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.210569900313676	0.109368145434766	1.92533117825676	0.0573811567881969	0.173681196065668	0.206721684854497	0.0330404887888288	0.0399851590348833	3.70690014596757	0.0573811567881973	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.169123409481003	0.169123409481001
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	NFkB	Factor1	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.211292560966051	0.115651499949698	-1.82697639942371	0.071055238688045	0.103389613079198	0.13580042540242	0.0324108123232212	0.0361481562069882	3.33784276405123	0.0710552386880444	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.204056070078487	0.204056070078488
