evidence_id	candidate_id	candidate_label	candidate_type	evidence_type	omics_layer	dataset	analysis_unit	independence_group	effect_measure	effect_value	p_value	q_value	direction	discordance_code	layer_availability	independent_from_discovery	eligible_as_exact_replication	evidence_tier	auxiliary_score_100	cross_dataset_patient_link_allowed
EVIDENCE_001291	GENE:NOTCH3	NOTCH3	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.254109213092543	0.0134574916525378	0.16303172875576	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001292	GENE:PIK3CA	PIK3CA	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.391018619934283	0.0362871508841317	0.186619633118392	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001293	GENE:PIK3CA	PIK3CA	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.415115005476451	0.0262103562251042	0.660500976872627	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001294	GENE:PIK3CA	PIK3CA	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.254672103040048	0.0132458666481809	0.835048779262326	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001295	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.734848484848485	0.00276336396228416	0.133312066650575	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001296	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.632575757575758	0.010015614860969	0.160194293954007	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001297	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.621212121212121	0.0114424495681433	0.160194293954007	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001298	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.261558945241627	0.0108817600723787	0.16303172875576	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001299	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.598484848484848	0.0148471999014417	0.164138391672148	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001300	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.500821018062397	0.0285902461314485	0.173841101375178	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001301	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.59469696969697	0.0154941633363392	0.247906613381428	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001302	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.53030303030303	0.0309530946513674	0.254622778770024	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001303	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.507575757575758	0.0389351177220323	0.254622778770024	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001304	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.488636363636364	0.0468630391850597	0.322729860638368	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001305	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.223127197183489	0.0306424805937	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001306	GENE:PTCH1	PTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.218016714287267	0.0347781511356244	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001307	GENE:SMARCA4	SMARCA4	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.635467980295567	0.0054431063055489	0.0783807307999041	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001308	GENE:SMARCA4	SMARCA4	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.586206896551724	0.0103610623814736	0.124332748577683	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001309	GENE:SMARCA4	SMARCA4	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.733990147783251	0.00131985833274229	0.166302149925528	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001310	GENE:SMARCA4	SMARCA4	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.61247947454844	0.00738962729241943	0.287932317758199	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001311	GENE:SMARCA4	SMARCA4	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.596059113300493	0.00914070850026029	0.287932317758199	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001312	GENE:TP53	TP53	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.476190476190476	0.0144280426212019	0.129852383590817	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
