edge_id	axis_candidate_id	source_node	source_layer	target_node	target_layer	edge_class	source_effect_measure	source_effect	target_effect_measure	target_effect	association_effect_measure	association_effect	p_value	q_value	n_complete	sample_design	evidence_source	independence_group	same_patient_evidence	independent_from_tcga_discovery	eligible_as_exact_driver_replication	representation_overlap	original_state_edge_id	meets_T3_T4_retention_criteria	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	discordance_code	evidence_tier	layer_availability
ESCC_AXIS_00063	GENE:NOTCH1	NOTCH1:relative_cnv	genome_CNV	Factor3	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.221306879127476	0.0320652206196652	0.279841925407987		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0009	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00064	GENE:NOTCH1	NOTCH1:relative_cnv	genome_CNV	Factor1	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.215133292356625	0.0373117827081742	0.283940830828338		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0008	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00112	GENE:NOTCH1	NOTCH1:relative_cnv	genome_CNV	WNT	RNA_derived_pathway_activity	TCGA_driver_state_internal					Spearman rho	0.218857043107297	0.0340675490807947	0.835048779262326		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0014							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00114	GENE:NOTCH1	NOTCH1:relative_cnv	genome_CNV	Estrogen	RNA_derived_pathway_activity	TCGA_driver_state_internal					Spearman rho	0.208786332575116	0.043436436046267	0.835048779262326		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0012							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00050	GENE:NOTCH3	NOTCH3:relative_cnv	genome_CNV	Factor1	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.254109213092543	0.0134574916525378	0.16303172875576		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0016	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00056	GENE:PIK3CA	PIK3CA:mutation	genome_mutation	Factor8	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.391018619934283	0.0362871508841317	0.186619633118392		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0049	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00105	GENE:PIK3CA	PIK3CA:mutation	genome_mutation	Estrogen	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.415115005476451	0.0262103562251042	0.660500976872627		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0052							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00109	GENE:PIK3CA	PIK3CA:relative_cnv	genome_CNV	EGFR	RNA_derived_pathway_activity	TCGA_driver_state_internal					Spearman rho	-0.254672103040048	0.0132458666481809	0.835048779262326		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0050							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00093	GENE:PTCH1	PTCH1:amplification	genome_CNV	WNT	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.734848484848485	0.00276336396228416	0.133312066650575		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0036							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00095	GENE:PTCH1	PTCH1:amplification	genome_CNV	p53	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.632575757575758	0.010015614860969	0.160194293954007		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0032							same_direction_nonsignificant	T2	evaluable
