gene_id	gene_name	gene_type	expressed_filter	cnv_coverage_filter	cnv_variation_filter	test_eligible	n_patients	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	spearman_rho_absolute_cnv	p_absolute_cnv	q_absolute_cnv	direction_stable_between_cnv_scales	discordance_code	dosage_evidence
ENSG00000023516.9	AKAP11	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.409870200171327	3.71090061272358e-05	0.000121075092546947	0.294919468923267	0.00371630114187897	0.0112214597812641	TRUE	support	strong_positive_dosage
ENSG00000023572.10	GLRX2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.482569020742926	7.33409907610032e-07	3.73988920318071e-06	0.30424890416097	0.00272115046427881	0.00871235298863516	TRUE	support	strong_positive_dosage
ENSG00000023608.5	SNAPC1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.383319009618867	0.00012596912816695	0.000363242492817929	0.294134997261164	0.00381324278205973	0.0114541792899293	TRUE	support	strong_positive_dosage
ENSG00000023697.13	DERA	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.39344890630142	7.99927561697587e-05	0.000240737573266464	0.260163424788906	0.0108903664233399	0.0269801967143576	TRUE	support	strong_positive_dosage
ENSG00000023734.11	STRAP	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.450548405014808	4.61676329763691e-06	1.89297743745979e-05	0.332986685603872	0.000976484498227673	0.00376292203176036	TRUE	support	strong_positive_dosage
ENSG00000023839.12	ABCC2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0504709133448735	0.627160680871514	0.691021003893357	0.0356167136847446	0.731852832736006	0.802691270186798	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000023892.11	DEF6	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000023902.14	PLEKHO1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.198165205693852	0.0542239772481544	0.0853292566647344	0.23656050695391	0.020996593131421	0.0461328472094042	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000023909.10	GCLM	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000024048.11	UBR2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000024422.12	EHD2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000024526.17	DEPDC1	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000024862.18	CCDC28A	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025039.15	RRAGD	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025156.13	HSF2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025293.17	PHF20	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.41791463861526	2.50958469885391e-05	8.5074988374406e-05	0.282766774188125	0.00549497623012276	0.0154791844847661	TRUE	support	strong_positive_dosage
ENSG00000025423.11	HSD17B6	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025434.19	NR1H3	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025708.14	TYMP	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025770.19	NCAPH2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025772.8	TOMM34	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.378642820130043	0.000154582788117288	0.000436910835503331	0.334073822973358	0.000937493760582189	0.00365262545981669	TRUE	support	strong_positive_dosage
ENSG00000025796.14	SEC63	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000025800.14	KPNA6	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000026025.16	VIM	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.048747240258466	0.638984933357159	0.701322473748154	-0.0965378716653179	0.352032310489232	0.457004172548309	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000026036.22	RTEL1-TNFRSF6B	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.369245631498541	0.000231102273577268	0.000625712859416507	0.260465619925825	0.010795144500844	0.0267913938473002	TRUE	support	strong_positive_dosage
ENSG00000026103.22	FAS	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.260105728190685	0.0109086299173436	0.0202879079940977	0.285038947035497	0.00511394975344435	0.0146168832033314	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000026297.16	RNASET2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.299960635863277	0.00314421419774351	0.00658871851549622	0.31648373701026	0.00178049303911085	0.00619484573991874	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000026508.20	CD44	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000026559.14	KCNG1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.313661921494753	0.00196657617738385	0.00432312689921684	0.222959004096371	0.0298719849340496	0.0615293995344513	TRUE	support	strong_positive_dosage
ENSG00000026652.15	AGPAT4	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.247619699214697	0.0155481330272321	0.0279214702706538	0.0305523441290942	0.768823733344281	0.830300824854992	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000026751.17	SLAMF7	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.110632641516692	0.285827803135364	0.359467294661115	-0.190681299797259	0.0641768145375207	0.116054521882909	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000026950.17	BTN3A1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.198746523988411	0.0535071223961571	0.0842848498606464	0.156012526214604	0.131106561694324	0.207629047878049	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
