tcga_gene_id	tcga_gene_name	gencode19_gene_name	paper_patient_id	region_type	n_common_cpg	median_normal_beta	median_tumor_beta	median_delta_beta	mean_delta_beta	delta_beta_iqr	fraction_cpg_higher_in_tumor	fraction_cpg_lower_in_tumor
ENSG00000116044.16	NFE2L2	NFE2L2	P6	gene_body	1058	0.8125	0.791667	0	-0.0177048109640831	0.171429	0.407372400756144	0.438563327032136
ENSG00000116044.16	NFE2L2	NFE2L2	P7	gene_body	1058	0.833333	0.363636	-0.133333	-0.213508630434783	0.4041055	0.155954631379962	0.694706994328922
ENSG00000116044.16	NFE2L2	NFE2L2	P8	gene_body	1058	0.809524	0.761905	-0.0142640000000001	-0.0710296531190926	0.19717325	0.35538752362949	0.525519848771267
ENSG00000116044.16	NFE2L2	NFE2L2	P9	gene_body	1058	0.833333	0.84	0	-0.0419867013232514	0.16037075	0.342155009451796	0.496219281663516
ENSG00000116044.16	NFE2L2	NFE2L2	P1	promoter	58	0	0	0	0.00717101724137931	0	0.189655172413793	0.189655172413793
ENSG00000116044.16	NFE2L2	NFE2L2	P11	promoter	58	0	0	0	-0.0240483965517241	0	0.155172413793103	0.241379310344828
ENSG00000116044.16	NFE2L2	NFE2L2	P12	promoter	58	0	0	0	0.0170549137931035	0	0.241379310344828	0.137931034482759
ENSG00000116044.16	NFE2L2	NFE2L2	P13	promoter	58	0	0	0	-0.0204456379310345	0	0.172413793103448	0.206896551724138
ENSG00000116044.16	NFE2L2	NFE2L2	P2	promoter	58	0	0	0	-0.0305866896551724	0.0375	0.120689655172414	0.258620689655172
ENSG00000116044.16	NFE2L2	NFE2L2	P6	promoter	58	0	0	0	0.0273173620689655	0	0.224137931034483	0.172413793103448
ENSG00000116044.16	NFE2L2	NFE2L2	P7	promoter	58	0	0	0	-0.0453241724137931	0.06978425	0.0862068965517242	0.275862068965517
ENSG00000116044.16	NFE2L2	NFE2L2	P8	promoter	58	0	0	0	0.0319251379310345	0.032258	0.293103448275862	0.137931034482759
ENSG00000116044.16	NFE2L2	NFE2L2	P9	promoter	58	0.085145	0	0	-0.0505424655172414	0.119124	0.206896551724138	0.46551724137931
ENSG00000141510.18	TP53	TP53	P1	gene_body	300	0.916667	0.916667	0	0.00199857333333332	0.13847475	0.383333333333333	0.366666666666667
ENSG00000141510.18	TP53	TP53	P11	gene_body	300	0.925824	0.818182	-0.054701	-0.0992256033333334	0.182197	0.163333333333333	0.566666666666667
