Hugo_Symbol	gene_id	nonsynonymous_variants	mutated_patients	likely_lof_variants	likely_lof_patients	hotspot_variants	max_observed_aa_position	variant_classes	callers	oncodrive_mutated_samples	oncodrive_clusters	oncodrive_cluster_score	oncodrive_mutations_in_clusters	oncodrive_fraction_in_clusters	oncodrive_p	oncodrive_fdr	mutation_frequency_96	recurrent_mutation
NCOA4	ENSG00000266412.5	2	2	0	0	0	594	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NDNF	ENSG00000173376.14	2	2	1	1	0	500	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
NDST3	ENSG00000164100.9	2	2	0	0	0	781	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NDST4	ENSG00000138653.10	2	2	0	0	0	214	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NECAB1	ENSG00000123119.12	2	2	0	0	0	295	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
NECTIN1	ENSG00000110400.11	2	2	1	1	0	296	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NECTIN3	ENSG00000177707.11	2	2	0	0	0	431	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NEDD8	ENSG00000129559.13	2	2	0	0	0	59	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
NEK11	ENSG00000114670.14	2	2	0	0	0	509	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
NELL1	ENSG00000165973.19	2	2	0	0	0	728	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
NEXMIF	ENSG00000050030.16	2	2	0	0	0	1399	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NF1	ENSG00000196712.18	2	2	1	1	0	2359	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NFATC4	ENSG00000100968.14	2	2	0	0	0	798	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NIBAN1	ENSG00000135842.17	2	2	0	0	0	253	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NIN	ENSG00000100503.26	2	2	0	0	0	2052	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NKPD1	ENSG00000179846.10	2	2	1	1	0	544	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NLRC3	ENSG00000167984.18	2	2	0	0	0	978	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NLRC4	ENSG00000091106.19	2	2	0	0	0	910	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NLRP11	ENSG00000179873.14	2	2	0	0	0	881	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NLRP12	ENSG00000142405.22	2	2	0	0	0	644	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NLRP2	ENSG00000022556.16	2	2	0	0	0	800	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NOBOX	ENSG00000106410.15	2	2	2	2	0	360	Frame_Shift_Del;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
NOC2L	ENSG00000188976.11	2	2	0	0	0	749	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NOC3L	ENSG00000173145.11	2	2	1	1	0	575	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
NOD1	ENSG00000106100.11	2	2	0	0	0	822	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NOP58	ENSG00000055044.11	2	2	0	0	0	149	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NOX4	ENSG00000086991.13	2	2	0	0	0	215	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NOXRED1	ENSG00000165555.9	2	2	0	0	0	299	Missense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0208333333333333	FALSE
NPAS2	ENSG00000170485.17	2	2	0	0	0	542	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NPAS3	ENSG00000151322.19	2	2	0	0	0	839	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NPAS4	ENSG00000174576.10	2	2	0	0	0	365	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NPAT	ENSG00000149308.17	2	2	1	1	0	1325	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0208333333333333	FALSE
NPVF	ENSG00000105954.2	2	2	0	0	0	175	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NRK	ENSG00000123572.17	2	2	0	0	0	1272	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NSMAF	ENSG00000035681.9	2	2	0	0	0	635	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NTM	ENSG00000182667.14	2	2	0	0	0	96	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NTRK1	ENSG00000198400.12	2	2	0	0	0	313	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NUAK1	ENSG00000074590.13	2	2	0	0	0	608	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NUAK2	ENSG00000163545.11	2	2	0	0	0	212	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
NUDCD3	ENSG00000015676.18	2	2	0	0	0	275	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
NUP107	ENSG00000111581.10	2	2	0	0	0	724	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
NUP210L	ENSG00000143552.9	2	2	0	0	0	1475	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
NVL	ENSG00000143748.18	2	2	0	0	0	230	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
ODF2	ENSG00000136811.16	2	2	0	0	0	496	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OGDH	ENSG00000105953.15	2	2	1	1	0	678	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OGDHL	ENSG00000197444.10	2	2	0	0	0	817	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OLFM1	ENSG00000130558.20	2	2	0	0	0	369	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OLFML2B	ENSG00000162745.10	2	2	0	0	0	642	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OPN4	ENSG00000122375.12	2	2	0	0	0	406	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OPTN	ENSG00000123240.17	2	2	0	0	0	501	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
OR10A2	ENSG00000170790.5	2	2	1	1	0	289	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR10G7	ENSG00000182634.9	2	2	0	0	0	269	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR13C3	ENSG00000204246.3	2	2	0	0	0	192	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
OR14K1	ENSG00000153230.4	2	2	0	0	0	244	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
OR2B2	ENSG00000168131.4	2	2	0	0	0	269	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR2D3	ENSG00000178358.4	2	2	0	0	0	301	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR2F2	ENSG00000221910.2	2	2	0	0	0	155	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR2T11	ENSG00000279301.4	2	2	0	0	0	84	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR2W1	ENSG00000204704.2	2	2	0	0	0	298	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
OR4C46	ENSG00000185926.1	2	2	0	0	0	230	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR4K1	ENSG00000155249.5	2	2	1	1	0	149	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
OR4K14	ENSG00000169484.4	2	2	0	0	0	259	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR4N2	ENSG00000176294.6	2	2	0	0	0	290	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR4S2	ENSG00000174982.4	2	2	1	1	0	117	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
OR51G2	ENSG00000176893.5	2	2	0	0	0	209	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR52L1	ENSG00000183313.4	2	2	0	0	0	263	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR52N1	ENSG00000181001.3	2	2	0	0	0	304	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR5D13	ENSG00000279761.2	2	2	0	0	0	167	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR5L2	ENSG00000205030.1	2	2	0	0	0	67	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR6K6	ENSG00000180433.5	2	2	1	1	0	280	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
OR8G5	ENSG00000255298.4	2	2	0	0	0	213	In_Frame_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
OR8H2	ENSG00000181767.3	2	2	0	0	0	66	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OR8I2	ENSG00000172154.10	2	2	0	0	0	183	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OSBPL9	ENSG00000117859.19	2	2	0	0	0	681	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OTOGL	ENSG00000165899.11	2	2	0	0	0	434	Missense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0208333333333333	FALSE
OTUD4	ENSG00000164164.17	2	2	0	0	0	777	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
OTUD6B	ENSG00000155100.11	2	2	1	1	0	274	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
OTUD7B	ENSG00000264522.6	2	2	0	0	0	544	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PANK2	ENSG00000125779.22	2	2	0	0	0	396	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PARM1	ENSG00000169116.11	2	2	0	0	0	260	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PARP10	ENSG00000178685.14	2	2	2	2	0	638	Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PARP4	ENSG00000102699.6	2	2	1	1	0	1193	Frame_Shift_Del;Splice_Region	muse;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
PARP8	ENSG00000151883.19	2	2	1	1	0	507	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PATJ	ENSG00000132849.21	2	2	0	0	0	333	Missense_Mutation	muse;mutect2								0.0208333333333333	FALSE
PAX4	ENSG00000106331.17	2	2	0	0	0	258	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PAXIP1	ENSG00000157212.19	2	2	0	0	0	914	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDH1	ENSG00000156453.14	2	2	0	0	0	797	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDH19	ENSG00000165194.15	2	2	0	0	0	639	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
PCDH7	ENSG00000169851.15	2	2	0	0	0	653	In_Frame_Ins;Missense_Mutation	muse;mutect2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
PCDH9	ENSG00000184226.15	2	2	0	0	0	1228	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHA1	ENSG00000204970.10	2	2	1	1	0	749	In_Frame_Del;Nonsense_Mutation	muse;mutect2;varscan2;pindel;varscan2								0.0208333333333333	FALSE
PCDHA10	ENSG00000250120.8	2	2	0	0	0	414	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHA4	ENSG00000204967.12	2	2	0	0	0	632	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHA9	ENSG00000204961.7	2	2	0	0	0	595	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHB11	ENSG00000197479.7	2	2	0	0	0	501	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHB15	ENSG00000113248.6	2	2	0	0	0	561	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
PCDHB3	ENSG00000113205.5	2	2	0	0	0	506	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHB9	ENSG00000177839.7	2	2	0	0	0	505	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHGA6	ENSG00000253731.3	2	2	1	1	0	733	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHGB6	ENSG00000253305.2	2	2	0	0	0	529	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PCDHGB7	ENSG00000254122.3	2	2	0	0	0	629	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
PCSK6	ENSG00000140479.18	2	2	1	1	0	883	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PDE1B	ENSG00000123360.12	2	2	1	1	0	302	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PDE4D	ENSG00000113448.19	2	2	1	1	0	669	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
PELI2	ENSG00000139946.10	2	2	0	0	0	169	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PELI3	ENSG00000174516.15	2	2	0	0	0	218	Missense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0208333333333333	FALSE
PGBD2	ENSG00000185220.12	2	2	0	0	0	261	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PGR	ENSG00000082175.15	2	2	1	1	0	740	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PHC3	ENSG00000173889.16	2	2	0	0	0	862	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PHF14	ENSG00000106443.17	2	2	0	0	0	476	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PHF21B	ENSG00000056487.16	2	2	0	0	0	243	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PHF8	ENSG00000172943.20	2	2	1	1	0	919	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0208333333333333	FALSE
PHKA1	ENSG00000067177.15	2	2	1	1	0	1208	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
PHLDB1	ENSG00000019144.19	2	2	0	0	0	535	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PID1	ENSG00000153823.19	2	2	0	0	0	132	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PIGK	ENSG00000142892.15	2	2	0	0	0	303	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PIGT	ENSG00000124155.18	2	2	0	0	0	545	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PIK3CB	ENSG00000051382.9	2	2	0	0	0	831	Missense_Mutation	muse;mutect2;mutect2;varscan2								0.0208333333333333	FALSE
PITPNB	ENSG00000180957.18	2	2	1	1	0	124	Missense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PITRM1	ENSG00000107959.17	2	2	0	0	0	510	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PJA2	ENSG00000198961.10	2	2	0	0	0	83	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PKDREJ	ENSG00000130943.7	2	2	0	0	0	2193	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLB1	ENSG00000163803.13	2	2	2	2	0	776	Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;pindel;varscan2*								0.0208333333333333	FALSE
PLBD1	ENSG00000121316.11	2	2	0	0	0	430	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLCB1	ENSG00000182621.18	2	2	0	0	0	890	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLCE1	ENSG00000138193.16	2	2	0	0	0	658	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PLCL1	ENSG00000115896.16	2	2	0	0	0	938	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLD5	ENSG00000180287.17	2	2	0	0	0	446	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PLEKHA8	ENSG00000106086.20	2	2	0	0	0	478	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLG	ENSG00000122194.19	2	2	0	0	0	359	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLS1	ENSG00000120756.13	2	2	0	0	0	152	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PLXNA4	ENSG00000221866.9	2	2	0	0	0	1495	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PMS2	ENSG00000122512.16	2	2	0	0	0	622	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PNOC	ENSG00000168081.9	2	2	0	0	0	105	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
POLQ	ENSG00000051341.14	2	2	0	0	0	1324	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
POLR1B	ENSG00000125630.16	2	2	1	1	0	758	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0208333333333333	FALSE
POLRMT	ENSG00000099821.14	2	2	0	0	0	860	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
POP1	ENSG00000104356.11	2	2	0	0	0	528	Missense_Mutation	muse;mutect2								0.0208333333333333	FALSE
POT1	ENSG00000128513.16	2	2	0	0	0	437	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
POTEF	ENSG00000196604.13	2	2	0	0	0	938	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
POU6F1	ENSG00000184271.17	2	2	0	0	0	542	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PPFIBP2	ENSG00000166387.13	2	2	0	0	0	557	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PPP1R16B	ENSG00000101445.10	2	2	1	1	0	377	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PPP2R1A	ENSG00000105568.18	2	2	0	0	0	456	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PPP2R3B	ENSG00000167393.18	2	2	0	0	0	253	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PPP2R5B	ENSG00000068971.14	2	2	0	0	0	260	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRAMEF6	ENSG00000232423.6	2	2	0	0	0	407	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRB2	ENSG00000121335.12	2	2	1	1	0	124	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;varscan2								0.0208333333333333	FALSE
PRB4	ENSG00000230657.8	2	2	0	0	0	155	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
PRDM1	ENSG00000057657.17	2	2	0	0	0	327	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRDM10	ENSG00000170325.15	2	2	1	1	0	595	Frame_Shift_Del;Missense_Mutation	mutect2;pindel;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
PRDM16	ENSG00000142611.17	2	2	0	0	0	1219	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRDX1	ENSG00000117450.15	2	2	0	0	0	191	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PRIM1	ENSG00000198056.15	2	2	1	1	0	366	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRKACA	ENSG00000072062.15	2	2	1	1	0	225	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRKCB	ENSG00000166501.14	2	2	0	0	0	265	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
PRKCI	ENSG00000163558.13	2	2	0	0	0	151	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRKCSH	ENSG00000130175.10	2	2	0	0	0	71	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRKG2	ENSG00000138669.9	2	2	0	0	0	655	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PRLR	ENSG00000113494.17	2	2	1	1	0	249	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;varscan2								0.0208333333333333	FALSE
PROM2	ENSG00000155066.16	2	2	0	0	0	285	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PROS1	ENSG00000184500.16	2	2	0	0	0	676	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRRC2A	ENSG00000204469.13	2	2	0	0	0	1420	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRSS22	ENSG00000005001.10	2	2	0	0	0	125	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRSS35	ENSG00000146250.7	2	2	0	0	0	195	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PRUNE2	ENSG00000106772.18	2	2	0	0	0	1791	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0208333333333333	FALSE
PTCH2	ENSG00000117425.14	2	2	1	1	0	906	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
PTER	ENSG00000165983.14	2	2	1	1	0	348	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel								0.0208333333333333	FALSE
PTH2R	ENSG00000144407.9	2	2	0	0	0	335	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
PTK2B	ENSG00000120899.18	2	2	1	1	0	582	Missense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
PTPN14	ENSG00000152104.12	2	2	2	2	0	1052	Frame_Shift_Ins	mutect2;pindel;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
PTPRO	ENSG00000151490.15	2	2	0	0	0	1052	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
PYGB	ENSG00000100994.12	2	2	0	0	0	801	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
R3HDM2	ENSG00000179912.20	2	2	0	0	0	917	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
RAB11FIP1	ENSG00000156675.16	2	2	0	0	0	630	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RAG1	ENSG00000166349.10	2	2	0	0	0	651	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RALGAPB	ENSG00000170471.15	2	2	0	0	0	552	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
RALYL	ENSG00000184672.12	2	2	0	0	0	151	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RAPGEF2	ENSG00000109756.9	2	2	0	0	0	1064	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RASA1	ENSG00000145715.15	2	2	1	1	0	455	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RAVER2	ENSG00000162437.14	2	2	0	0	0	382	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
RB1	ENSG00000139687.16	2	2	2	2	0	545	Frame_Shift_Del;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
RBBP6	ENSG00000122257.20	2	2	0	0	0	1434	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RBBP7	ENSG00000102054.18	2	2	2	2	0	371	Frame_Shift_Del;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0208333333333333	FALSE
RBM19	ENSG00000122965.11	2	2	0	0	0	152	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RBM6	ENSG00000004534.15	2	2	0	0	0	544	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RECQL	ENSG00000004700.16	2	2	1	1	0	614	Frame_Shift_Del;Missense_Mutation	muse;varscan2;mutect2;pindel;varscan2								0.0208333333333333	FALSE
RELCH	ENSG00000134444.15	2	2	1	1	0	709	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
REV1	ENSG00000135945.10	2	2	0	0	0	1175	Missense_Mutation	muse;mutect2								0.0208333333333333	FALSE
RFC1	ENSG00000035928.16	2	2	0	0	0	966	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
RFC3	ENSG00000133119.13	2	2	1	1	0	355	Frame_Shift_Del;Missense_Mutation	muse;mutect2;mutect2;varscan2								0.0208333333333333	FALSE
RFPL2	ENSG00000128253.15	2	2	0	0	0	235	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0208333333333333	FALSE
RGS6	ENSG00000182732.18	2	2	0	0	0	285	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RHO	ENSG00000163914.5	2	2	0	0	0	309	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RHOA	ENSG00000067560.13	2	2	0	0	1	64	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
RHOBTB1	ENSG00000072422.17	2	2	0	0	0	486	Missense_Mutation	muse;mutect2;varscan2								0.0208333333333333	FALSE
